,ligacao_consumidor,nota_consumidor,custo_do_produto,compras_anteriores,desconto_oferecido,peso_em_gms,bloco_deposito_A,bloco_deposito_B,bloco_deposito_C,bloco_deposito_D,bloco_deposito_F,forma_envio_Flight,forma_envio_Road,forma_envio_Ship,genero_consumidor_F,genero_consumidor_M,importancia_produto_high,importancia_produto_low,importancia_produto_medium
9537,3,3,275,3,7,4968,0,1,0,0,0,0,0,1,0,1,0,0,1
1832,3,4,166,2,58,1319,1,0,0,0,0,0,0,1,1,0,0,0,1
1687,5,1,258,2,48,3717,0,0,0,0,1,0,0,1,1,0,0,0,1
600,6,3,133,5,32,1367,0,0,0,1,0,0,0,1,0,1,0,0,1
6740,6,3,210,4,9,5440,1,0,0,0,0,0,0,1,0,1,0,0,1
8123,3,5,152,4,2,4809,0,0,0,0,1,0,0,1,0,1,0,0,1
3714,3,4,154,3,2,4990,0,0,0,1,0,1,0,0,1,0,0,1,0
5179,4,5,222,3,8,4950,0,0,0,0,1,0,1,0,1,0,0,0,1
9067,4,2,184,2,10,5959,0,0,0,0,1,0,0,1,1,0,0,0,1
5458,5,2,205,3,3,5182,0,0,1,0,0,0,1,0,1,0,0,1,0
8166,3,1,133,3,5,5213,0,0,0,1,0,0,0,1,1,0,0,1,0
5148,5,3,241,3,2,5587,0,0,0,1,0,0,0,1,1,0,0,1,0
4336,4,3,177,3,4,4551,0,0,1,0,0,0,0,1,1,0,0,0,1
185,3,2,209,3,54,3001,0,0,0,0,1,0,0,1,0,1,0,0,1
8545,2,4,245,2,3,5850,0,0,0,0,1,0,0,1,1,0,0,0,1
4841,5,1,156,6,4,4821,0,0,0,0,1,0,0,1,1,0,0,0,1
5481,3,5,162,3,1,4480,0,1,0,0,0,1,0,0,0,1,0,0,1
10125,4,1,147,2,8,4600,0,1,0,0,0,0,1,0,0,1,0,1,0
1733,2,3,192,2,31,2621,0,0,0,0,1,0,0,1,1,0,0,1,0
5573,5,1,120,3,7,4381,0,0,0,0,1,0,0,1,0,1,0,1,0
341,3,2,169,2,30,1698,0,0,0,0,1,0,0,1,0,1,1,0,0
10308,3,5,209,3,8,5591,0,0,0,1,0,0,0,1,0,1,0,0,1
3947,4,2,202,3,9,4955,0,0,0,0,1,0,1,0,0,1,0,1,0
9217,4,5,200,4,2,4947,0,0,0,0,1,0,0,1,1,0,0,0,1
863,2,3,188,3,51,3191,0,0,0,0,1,0,0,1,1,0,0,0,1
10641,3,4,133,4,10,4571,0,1,0,0,0,0,0,1,1,0,0,1,0
435,3,1,112,2,22,1846,0,1,0,0,0,0,0,1,0,1,1,0,0
5724,5,5,287,4,4,1509,0,0,0,1,0,0,0,1,0,1,0,1,0
6940,3,5,276,5,10,5302,0,0,1,0,0,0,0,1,1,0,0,1,0
8878,4,1,271,5,3,1328,0,0,1,0,0,0,1,0,1,0,0,0,1
7030,3,2,258,2,1,5862,0,0,1,0,0,0,0,1,0,1,0,1,0
9920,6,4,284,4,7,1518,1,0,0,0,0,0,0,1,1,0,0,1,0
2846,2,1,257,2,24,2130,1,0,0,0,0,0,0,1,1,0,0,1,0
1638,4,4,209,3,52,2740,0,0,0,1,0,0,1,0,1,0,0,0,1
10943,5,3,261,5,10,1434,0,0,0,0,1,0,1,0,0,1,0,0,1
8224,3,4,138,3,10,4327,0,0,1,0,0,1,0,0,1,0,0,0,1
6839,4,5,201,10,7,5340,0,0,0,0,1,0,1,0,1,0,0,1,0
2146,3,3,133,6,10,1686,0,0,1,0,0,0,0,1,1,0,0,1,0
1624,3,3,156,6,45,1602,0,0,1,0,0,0,1,0,0,1,0,1,0
7190,5,2,303,4,9,1224,1,0,0,0,0,0,0,1,1,0,0,1,0
9841,5,4,208,6,8,5098,0,0,0,0,1,0,1,0,0,1,0,0,1
6886,6,3,278,4,3,1033,0,0,1,0,0,0,0,1,1,0,1,0,0
7040,4,1,260,2,2,4529,1,0,0,0,0,0,0,1,1,0,0,0,1
376,2,3,157,2,45,1965,0,0,1,0,0,0,0,1,0,1,0,1,0
10408,6,4,268,4,9,1793,0,0,1,0,0,1,0,0,0,1,0,1,0
356,3,4,198,2,25,2774,1,0,0,0,0,0,0,1,0,1,0,1,0
